DATE,FLIGHTCOUNT
1546297200000,12372
1546383600000,13820
1546470000000,13277
1546556400000,13269
1546642800000,11188
1546729200000,13192
1546815600000,13700
1546902000000,12960
1546988400000,13170
1547074800000,13622
1547161200000,13654
1547247600000,10180
1547334000000,12331
1547420400000,13464
1547506800000,12750
1547593200000,13000
1547679600000,13591
1547766000000,13509
1547852400000,9206
1547938800000,10829
1548025200000,13022
1548111600000,12320
1548198000000,12922
1548284400000,13442
1548370800000,13558
1548457200000,10258
1548543600000,12572
1548630000000,12749
1548716400000,12186
1548802800000,11792
1548889200000,12611
1548975600000,13500
1549062000000,9996
1549148400000,11397
1549234800000,13602
1549321200000,12696
1549407600000,13033
1549494000000,13506
1549580400000,13568
1549666800000,10251
1549753200000,12461
1549839600000,13188
1549926000000,11965
1550012400000,13064
1550098800000,13890
1550185200000,13986
1550271600000,10592
1550358000000,11787
1550444400000,13678
1550530800000,13435
1550617200000,12766
1550703600000,13573
1550790000000,13948
1550876400000,10708
1550962800000,12727
1551049200000,13570
1551135600000,13383
1551222000000,13641
1551308400000,13929
1551394800000,13941
1551481200000,11074
1551567600000,12918
1551654000000,13578
1551740400000,13617
1551826800000,13776
1551913200000,14317
1551999600000,14478
1552086000000,11912
1552172400000,13833
1552258800000,14414
1552345200000,14115
1552431600000,13331
1552518000000,14083
1552604400000,14459
1552690800000,11933
1552777200000,13734
1552863600000,14311
1552950000000,13953
1553036400000,14080
1553122800000,14402
1553209200000,14370
1553295600000,11860
1553382000000,13814
1553468400000,14287
1553554800000,13941
1553641200000,14075
1553727600000,14368
1553814000000,14385
1553900400000,11886
1553986800000,13779
1554069600000,14281
1554156000000,13823
1554242400000,14032
1554328800000,14383
1554415200000,14389
1554501600000,11591
1554588000000,13667
1554674400000,14282
1554760800000,13915
1554847200000,13741
1554933600000,14177
1555020000000,14421
1555106400000,11078
1555192800000,12860
1555279200000,14098
1555365600000,13871
1555452000000,13940
1555538400000,14385
1555624800000,13493
1555711200000,11012
1555797600000,13294
1555884000000,14444
1555970400000,13881
1556056800000,13960
1556143200000,14417
1556229600000,14139
1556316000000,10990
1556402400000,13666
1556488800000,14336
1556575200000,13751
1556661600000,14014
1556748000000,14545
1556834400000,14465
1556920800000,11336
1557007200000,13899
1557093600000,14476
1557180000000,14054
1557266400000,13944
1557352800000,14432
1557439200000,14562
1557525600000,11122
1557612000000,13359
1557698400000,14484
1557784800000,14032
1557871200000,14167
1557957600000,14561
1558044000000,14568
1558130400000,11045
1558216800000,13679
1558303200000,14485
1558389600000,13951
1558476000000,14270
1558562400000,14340
1558648800000,14560
1558735200000,10913
1558821600000,11383
1558908000000,13526
1558994400000,13814
1559080800000,13466
1559167200000,14262
1559253600000,14395
1559340000000,11343
1559426400000,13605
1559512800000,14409
1559599200000,14053
1559685600000,14163
1559772000000,14515
1559858400000,14584
1559944800000,11734
1560031200000,13702
1560117600000,14416
1560204000000,14375
1560290400000,14494
1560376800000,14728
1560463200000,14658
1560549600000,12036
1560636000000,13605
1560722400000,14418
1560808800000,14252
1560895200000,14385
1560981600000,14376
1561068000000,14558
1561154400000,12078
1561240800000,13744
1561327200000,14560
1561413600000,14415
1561500000000,14676
1561586400000,14720
1561672800000,14687
1561759200000,12024
1561845600000,13314
1561932000000,13518
1562018400000,13223
1562104800000,13109
1562191200000,11016
1562277600000,11883
1562364000000,11799
1562450400000,13946
1562536800000,14791
1562623200000,14523
1562709600000,14531
1562796000000,14137
1562882400000,14693
1562968800000,11993
1563055200000,14065
1563141600000,14715
1563228000000,14578
1563314400000,14365
1563400800000,14310
1563487200000,14722
1563573600000,12219
1563660000000,14029
1563746400000,14409
1563832800000,14492
1563919200000,14672
1564005600000,14833
1564092000000,14752
1564178400000,12240
1564264800000,14128
1564351200000,14627
1564437600000,14561
1564524000000,14214
1564610400000,14619
1564696800000,14624
1564783200000,12265
1564869600000,14134
1564956000000,14812
1565042400000,14430
1565128800000,13826
1565215200000,14593
1565301600000,14747
1565388000000,11951
1565474400000,14039
1565560800000,14522
1565647200000,14366
1565733600000,14474
1565820000000,14559
1565906400000,14607
1565992800000,11769
1566079200000,13472
1566165600000,14420
1566252000000,13692
1566338400000,14107
1566424800000,14550
1566511200000,14554
1566597600000,11528
1566684000000,13844
1566770400000,14523
1566856800000,13920
1566943200000,14325
1567029600000,14600
1567116000000,14421
1567202400000,10495